"","V1","V2","V3","V4"
"denovo93061",0,0,0,0
"denovo93285",0,0,0,0
"denovo93853",0,0,0,0
"denovo94237",0,0,0,0
"denovo94392",0,0,0,0
"denovo94412",0,0,0,0
"denovo94668",0,0,0,0
"denovo94847",0,0,0,0
"denovo94853",0,0,0,0
"denovo94971",0,0,0,0
"denovo95183",0,0,0,0
"denovo95532",0,0,0,0
"denovo95557",0,0,0,0
"denovo95664",0,0,0,0
"denovo95983",0,0,0,0
"denovo96062",0,0,0,0
"denovo96070",0,0,0,0
"denovo96677",0,0,0,0
"denovo97168",0,0,0,0
"denovo97219",0,0,0,0
"denovo97293",0,0,0,0
"denovo97417",0,0,0,0
"denovo97498",0,0,0,0
"denovo98074",0,0,0,0
"denovo98307",0,0,0,0
"denovo98415",0,0,0,0
"denovo99200",0,0,0,0
"denovo99737",0,0,0,0
"denovo99909",0,0,0,0
"denovo100584",0,0,0,0
"denovo100821",0,0,0,0
"denovo100887",0,0,0,0
"denovo101081",0,0,0,0
"denovo101289",0,0,0,0
"denovo101946",0,0,0,0
"denovo102052",0,0,0,0
"denovo102200",0,0,0,0
"denovo102244",0,0,0,0
"denovo102336",0,0,0,0
"denovo103125",0,0,0,0
"denovo103202",0,0,0,0
"denovo103218",0,0,0,0
"denovo103373",0,0,0,0
"denovo103522",0,0,0,0
"denovo104164",0,0,0,0
"denovo104263",0,0,0,0
"denovo104611",0,0,0,0
"denovo105689",0,0,0,0
"denovo105822",0,0,0,0
"denovo105925",0,0,0,0
"denovo105941",0,0,0,0
"denovo106445",0,0,0,0
"denovo106612",0,0,0,0
"denovo106662",0,0,0,0
"denovo106677",0,0,0,0
"denovo107149",0,0,0,0
"denovo107753",0,0,0,0
"denovo108007",0,0,0,0
"denovo108262",0,0,0,0
"denovo108319",0,0,0,0.00488531021043516
"denovo108852",0,0,0,0
"denovo109166",0,0,0,0
"denovo109567",0,0,0,0
"denovo109753",0,0,0,0
"denovo109794",0,0,0,0
"denovo109800",0,0,0,0
"denovo109822",0,0,0,0
"denovo110022",0,0,0,0
"denovo110158",0,0,0,0
"denovo110583",0,0,0,0
"denovo110584",0,0,0,0
"denovo110683",0,0,0,0
"denovo111121",0,0,0,0
"denovo111684",0,0,0,0
"denovo112010",0,0,0,0
"denovo112233",0,0,0,0
"denovo112481",0,0,0,0
"denovo112648",0,0,0,0
"denovo112850",0,0,0,0
"denovo112894",0,0,0,0
"denovo113150",0,0,0,0
"denovo113684",0,0,0,0
"denovo113931",0,0,0,0
"denovo113977",0,0,0,0
"denovo114205",0,0,0,0
"denovo114876",0,0,0,0
"denovo114944",0,0,0,0
"denovo115312",0,0,0,0
"denovo115891",0,0,0,0
"denovo116024",0,0,0,0
"denovo116051",0,0,0,0
"denovo116516",0,0,0,0
"denovo116615",0,0,0,0
"denovo117119",0,0,0,0
"denovo117467",0,0,0,0
"denovo117850",0,0,0,0
"denovo117890",0,0,0,0
"denovo118354",0,0,0,0
"denovo118581",0,0,0,0
"denovo118708",0,0,0,0
"denovo119062",0,0,0,0
"denovo119855",0,0,0,0
"denovo119873",0,0,0,0
"denovo120130",0,0,0,0
"denovo120184",0,0,0,0
"denovo120213",0,0,0,0
"denovo120279",0,0,0,0
"denovo120332",0,0,0,0
"denovo120339",0,0,0,0
"denovo120444",0,0,0,0
"denovo120516",0,0,0,0
"denovo120989",0,0,0,0
"denovo121353",0,0,0,0
"denovo121933",0,0,0,0
"denovo121935",0,0,0,0
"denovo121976",0,0,0,0
"denovo122002",0,0,0,0
"denovo122028",0,0,0,0
"denovo122211",0,0,0,0
"denovo122313",0,0,0,0
"denovo122335",0,0,0,0
"denovo122798",0,0,0,0
"denovo123035",0,0,0,0
"denovo123066",0,0,0,0
"denovo123669",0,0,0,0
"denovo123719",0,0,0,0
"denovo123801",0,0,0,0
"denovo123846",0,0,0,0
"denovo124001",0,0,0,0
"denovo124448",0,0,0,0
"denovo124595",0,0,0,0
"denovo124720",0,0,0,0
"denovo124744",0,0,0,0
"denovo125206",0,0,0,0
"denovo125276",0,0,0,0
"denovo125463",0,0,0,0
"denovo125753",0,0,0,0
"denovo125901",0,0,0,0
"denovo125996",0,0,0,0
"denovo126130",0.120606802841691,0,0,0
"denovo126439",0,0,0,0
"denovo127316",0,0,0,0
"denovo127336",0,0,0,0
"denovo127666",0,0,0,0
"denovo127838",0,0,0,0
"denovo127839",0,0,0,0
"denovo127843",0,0,0,0
"denovo128304",0,0,0,0
"denovo128593",0,0,0,0
"denovo128825",0,0,0,0
"denovo128840",0,0,0,0
"denovo129690",0,0,0,0
"denovo129897",0,0,0,0
"denovo129957",0,0,0,0
"denovo130257",0,0,0,0
"denovo130570",0,0,0,0
"denovo130985",0,0,0,0
"denovo131403",0,0,0,0
"denovo131490",0,0,0,0
"denovo131590",0,0,0,0
"denovo132171",0,0,0,0
"denovo132590",0,0,0,0
"denovo132784",0,0,0,0
"denovo132904",0,0,0,0
"denovo133052",0,0,0,0
"denovo133078",0,0,0,0
"denovo133334",0,0,0,0
"denovo133347",0,0,0,0
"denovo134242",0,0,0,0
"denovo135010",0,0,0,0
"denovo135162",0,0,0,0
"denovo135323",0,0,0,0
"denovo135726",0,0,0,0
"denovo135895",0,0,0,0
"denovo136037",0,0,0,0
"denovo136562",0,0,0,0
"denovo136977",0,0,0,0
"denovo137092",0,0,0,0
"denovo137179",0,0,0,0
"denovo137446",0,0,0,0
"denovo137577",0,0,0,0
"denovo138595",0,0,0,0
"denovo138699",0,0,0,0
"denovo138755",0,0,0,0
"denovo139150",0,0,0,0
"denovo139197",0,0,0,0
"denovo139699",0,0.543847020570316,0,0
"denovo139851",0,0,0,0
"denovo139860",0,0,0,0
"denovo139927",0,0,0,0
"denovo140111",0,0,0,0
"denovo140303",0,0,0.0118726299481201,0
"denovo140359",0,0,0,0
"denovo140485",0,0,0,0
"denovo141133",0,0,0,0
"denovo141276",0,0,0,0
"denovo141360",0,0,0,0
"denovo141480",0,0,0,0
"denovo141587",0,0,0,0
"denovo141855",0,0,0,0
"denovo142062",0,0,0,0
"denovo142196",0,0,0,0
"denovo142707",0,0,0,0
"denovo143099",0,0,0,0
"denovo143469",0,0,0,0
"denovo143525",0,0,0,0
"denovo143718",0,0,0,0
"denovo143891",0,0,0,0
"denovo143916",0,0,0,0
"denovo143972",0,0,0,0
"denovo144260",0,0,0,0
"denovo144342",0,0,0,0
"denovo144535",0,0,0,0
"denovo145103",0,0,0,0
"denovo145435",0,0,0,0
"denovo145561",0,0,0,0
"denovo145648",0,0,0,0
"denovo145855",0,0,0,0
"denovo146373",0,0,0,0
"denovo146377",0,0,0,0
"denovo146544",0,0,0,0
"denovo146710",0,0,0,0
"denovo146755",0,0,0,0
"denovo147609",0,0,0,0
"denovo147919",0,0,0,0
"denovo148133",0,0,0,0
"denovo148244",0,0,0,0
"denovo148715",0,0,0,0
"denovo148852",0,0,0,0
"denovo149064",0,0,0,0
"denovo149146",0,0,0,0
"denovo149149",0,0,0,0
"denovo149354",0,0,0,0
"denovo149374",0,0,0,0
"denovo149382",0,0,0,0
"denovo149476",0,0,0,0
"denovo150461",0,0,0,0
"denovo150671",0,0,0,0
"denovo151808",0,0,0,0
"denovo151894",0,0,0,0
"denovo152262",0,0,0,0
"denovo152800",0,0,0,0
"denovo153397",0,0,0,0
"denovo153564",0,0,0,0
"denovo153567",0,0,0,0
"denovo153664",0,0,0,0
"denovo153777",0,0,0,0
"denovo153943",0,0,0,0
"denovo153946",0,0,0,0
"denovo154236",0,0,0,0
"denovo154288",0,0,0,0
"denovo154421",0,0,0,0
"denovo154474",0,0,0,0
"denovo154560",0,0,0,0
"denovo154829",0,0,0,0
"denovo154994",0,0,0,0
"denovo155566",0,0,0,0
"denovo156098",0,0,0,0
"denovo156157",0,0,0,0
"denovo156229",0,0,0,0
"denovo156537",0,0,0,0
"denovo156933",0,0,0,0
"denovo157038",0,0,0,0
"denovo157050",0,0,0,0
"denovo157237",0,0,0,0
"denovo157583",0,0,0,0
"denovo157670",0,0.167043198951782,0,0
"denovo157836",0,0,0,0
"denovo157861",0,0,0,0
"denovo158278",0,0,0,0
"denovo158915",0,0,0,0
"denovo159220",0,0,0,0
"denovo159374",0,0,0,0
"denovo159417",0,0,0,0
"denovo159516",0,0,0,0
"denovo160622",0,0,0,0
"denovo160924",0,0,0,0
"denovo161163",0,0,0,0
"denovo161250",0,0,0,0
"denovo161511",0,0,0,0
"denovo161519",0,0,0,0
"denovo161538",0,0,0,0
"denovo161710",0,0,0,0
"denovo162043",0,0,0,0
"denovo162122",0,0,0,0
"denovo162447",0,0,0,0
"denovo162851",0,0,0,0
"denovo163137",0,0,0,0
"denovo163170",0,0,0,0
"denovo163693",0,0,0,0
"denovo163800",0,0,0,0
"denovo164227",0,0,0,0
"denovo164455",0,0,0,0
"denovo164571",0,-0.13911853695801,0,0
"denovo164693",0,0,0,0
"denovo164784",0,0,0,0
"denovo164847",0,0,0,0
"denovo165071",0,0,0,0
"denovo165181",0,0,0,0
"denovo165725",0,0,0,0
"denovo165986",0,0,0,0
"denovo166026",0,0,0,0
"denovo166165",0,0,0,0
"denovo166206",0,0,0,0
"denovo166387",0,0,0,0
"denovo166400",0,0,0,0
"denovo167244",0,0,0,0
"denovo167404",0,0,0,0
"denovo167447",0,0,0,0
"denovo167683",0,0,0,0
"denovo167934",0,0,0,0
"denovo167969",0,0,0,0
"denovo168023",0,0,0,0
"denovo168280",0,0,0,0
"denovo168839",0,0,0,0
"denovo169076",0,0,0,0
"denovo169315",0,0,0,0
"denovo169872",0,0,0,0
"denovo170279",0,0,0,0
"denovo170295",0,0,0,0
"denovo170309",0,0,0,0
"denovo170485",0,0,0,0
"denovo170517",0,0,0,0
"denovo170581",0,0.102938688883893,0,0
"denovo170709",0,0,0,0
"denovo171060",0,0,0,0
"denovo171103",0,0,0,0
"denovo171294",0,0,0,0
"denovo171940",0,0,0,0
"denovo172180",0,0,0,0
"denovo173049",0,0,0,0
"denovo173083",0,0,0,0
"denovo173389",0,0,0,0
"denovo173475",0,0,0,0
"denovo173517",0,0,0,0
"denovo173927",0,0,0,0
"denovo175129",0,0,0,0
"denovo175382",0,0,0,0
"denovo175608",0,0,0,0
"denovo176530",0,0,0,0
"denovo177712",0,0,0,0
"denovo178021",0,0,0,0
"denovo178164",0,0,0,0
"denovo178672",0,0,0,0
"denovo179058",0,0,0,0
"denovo179253",0,0,0,0
"denovo179268",0,0,0,0
"denovo179333",0,0,0,0
"denovo179546",0,0,0,0
"denovo179581",0,0,0,0
"denovo179791",0,0,0,0
"denovo180862",0,0,0,0
"denovo181341",0,0,0,0
"denovo181532",0,0,0,0
"denovo181643",0,0,0,0
"denovo181881",0,0,0,0
"denovo182029",0,0,0,0
"denovo182218",0,0,0,0
"denovo182235",0,0,0,0
"denovo182416",0,0,0,0
"denovo182422",0,0,0,0
"denovo182514",0,0,0,0
"denovo182852",0,0,0,0
"denovo182997",0,0,0,0
"denovo183175",0,-0.328037226332444,0,0
"denovo183431",0,0,0,0
"denovo183595",0,0,0,0
"denovo183793",0,0,0,0
"denovo184196",0,0,0,0
"denovo185053",0,0,0,0
"denovo185196",0,0,0,0
"denovo185353",0,0,0,0
"denovo185919",0,0,0,0
"denovo186038",0,0,0,0
"denovo186086",0,0,0,0
"denovo187037",0,0,0,0
"denovo187134",0,0,0,0
"denovo187230",0,0,0,0
"denovo187817",0,0,0,0
"denovo188129",0,0,0,0
"denovo188461",0,0,0,0
"denovo189673",0,0,0,0
"denovo189872",0,0,0,0
"denovo190392",0,0,0,0
"denovo190490",0,0,0,0
"denovo190532",0,0,0,0
"denovo190893",0,0,0,0
"denovo191237",0,0,0,0
"denovo191269",0,0,0,0
"denovo191377",0,0,0,0
"denovo191408",0,0,0,0
"denovo191454",0,0,0,0
"denovo191722",0,0,0,0
"denovo191988",0,0,0,0
"denovo192266",0,0,0,0
"denovo192431",0,0,0,0
"denovo192485",0,0,0,0
"denovo192636",0,0,0,0
"denovo192637",0,0,0,0
"denovo192930",0,0,0,0
"denovo193127",0,0,0,0
"denovo193218",0,0,0,0
"denovo193483",0,0,0,0
"denovo193633",0,0,0,0
"denovo194122",0,0,0,0
"denovo194269",0,0,0,0
"denovo195119",0,0,0,0
"denovo195703",0,0,0,0
"denovo195802",0,0,0,0
"denovo196789",0,0,0,0
"denovo197010",0,0,0,0
"denovo197344",0,0,0,0
"denovo197615",0,0,0,0
"denovo197833",0,0,0,0
"denovo198384",0,0,0,0
"denovo198402",0,0,0,0
"denovo198980",0,0,0,0
"denovo199083",0,0,0,0
"denovo199207",0,0,0,0
"denovo199434",0,0,0,0
"denovo200089",0,0,0,0
"denovo200234",0,0,0,0
"denovo200338",0.185728450952896,0,0,0
"denovo200769",0,0,0,0
"denovo201509",0,0,0,0
"denovo201793",0,0,0,0
"denovo202932",0,0,0,0
"denovo203412",0,0,0,0
"denovo203874",0,0,0,0
"denovo203991",0,0,0,0
"denovo204952",0,0,0,0
"denovo205759",0,0,0,0
"denovo206185",0,0,0,0
"denovo206433",0,0,0,0
"denovo206725",0,0,0,0
"denovo207762",0,0,0,0
"denovo207957",0,0,0,0
"denovo208121",0,0,0,0
"denovo208521",0,0,0,0
"denovo208731",0,0,0,0
"denovo208981",0,0,0,0
"denovo209223",0,0,0,0
"denovo209570",0,0,0,0
"denovo210032",0,0,0,0
"denovo210702",0,0,0,0
"denovo210940",0,0,0,0
"denovo211190",0,0,0,0
"denovo211407",0,0,0,0
"denovo211496",0,0,0,0
"denovo212154",0,0,0,0
"denovo212164",0,0,0,0
"denovo212258",0,0,0,0
"denovo212442",0,0,0,0
"denovo212549",0,0,0,0
"denovo212755",0,0,0,0
"denovo212772",0,0,0,0
"denovo212965",0,0,0,0
"denovo213072",0,0,0,0
"denovo213851",0,0,0,0
"denovo213973",0,0,0,0
"denovo214091",0,0,0,0
"denovo214750",0,0,0,0
"denovo215270",0,0,0,0
"denovo215612",0,0,0,0
"denovo216199",0,0,0,0
"denovo216230",0,0,0,0
"denovo216533",0,0,0,0
"denovo216619",0,0,0,0
"denovo216636",0,0,0,0
"denovo216822",0,0,0,0
"denovo217698",0,0,0,0
"denovo218171",0,0,0,0
"denovo218817",0,0,0,0
"denovo218838",0,0,0,0
"denovo218913",0,0,0,0
"denovo218940",0,0,0,0
"denovo219064",0,0,0,0
"denovo219423",0,0,0,0
"denovo220181",0,0,0,0
"denovo220257",0,0,0,0
"denovo220945",0,0,0,0
"denovo221802",0,0,0,0
